nconst,had_prior_experience,movie_count,roles,firstYear,movies_directed_after_first
nm1268818,0,0.0,,2004.0,1
nm1138779,1,1.0,['actor'],2003.0,0
nm0655457,0,0.0,,2003.0,1
nm0561732,1,3.0,['cinematographer'],2004.0,0
nm1095164,0,0.0,,2004.0,3
nm0496460,1,4.0,['writer'],2003.0,0
nm0826457,1,4.0,['producer'],2003.0,0
nm1181982,0,0.0,,2003.0,3
nm1160413,0,0.0,,2006.0,0
nm0915416,1,1.0,['writer'],2003.0,2
nm0122414,0,0.0,,2004.0,0
nm0193485,1,5.0,['writer'],2003.0,2
nm0006939,1,51.0,['actor'],2003.0,2
nm1033560,0,0.0,,2005.0,0
nm0713576,1,6.0,['actor'],2006.0,6
nm0429535,1,1.0,['actor'],2003.0,9
nm0929621,0,0.0,,2003.0,1
nm1154950,0,0.0,,2003.0,4
nm1154951,0,0.0,,2003.0,9
nm0029927,0,0.0,,2004.0,0
nm0511622,0,0.0,,2004.0,0
nm1160071,0,0.0,,2003.0,3
nm1159307,0,0.0,,2004.0,0
nm1110037,0,0.0,,2007.0,2
nm0418061,0,0.0,,2003.0,0
nm0741666,0,0.0,,2003.0,3
nm2349060,0,0.0,,2011.0,6
nm0289824,0,0.0,,2003.0,10
nm0269792,0,0.0,,2003.0,0
nm0661272,1,2.0,['writer'],2003.0,0
nm1166926,0,0.0,,2003.0,4
nm0436302,1,7.0,['actor'],2003.0,0
nm0535049,0,0.0,,2003.0,4
nm1166764,0,0.0,,2003.0,0
nm0039199,0,0.0,,2004.0,1
nm0693903,0,0.0,,2003.0,3
nm1167429,0,0.0,,2004.0,2
nm1199954,0,0.0,,2004.0,3
nm1200194,0,0.0,,2004.0,3
nm1142770,0,0.0,,2004.0,4
nm1126367,1,1.0,['actor'],2003.0,0
nm0372192,0,0.0,,2003.0,0
nm0710020,1,4.0,['writer'],2006.0,0
nm0540606,0,0.0,,2008.0,0
nm1332684,0,0.0,,2003.0,0
nm1165576,0,0.0,,2003.0,1
nm0009190,1,9.0,"['producer', 'composer', 'writer']",2006.0,5
nm1165224,0,0.0,,2003.0,2
nm0849121,0,0.0,,2003.0,0
nm0434838,1,8.0,['producer'],2003.0,1
nm1172044,0,0.0,,2004.0,7
nm0865572,0,0.0,,2003.0,4
nm0936838,1,1.0,['cinematographer'],2004.0,2
nm0252135,0,0.0,,2005.0,2
nm0590122,0,0.0,,2005.0,4
nm0780865,0,0.0,,2003.0,2
nm1180439,0,0.0,,2003.0,1
nm1181007,0,0.0,,2005.0,1
nm1182171,0,0.0,,2004.0,0
nm0269463,1,7.0,"['actor', 'writer']",2003.0,6
nm0626754,0,0.0,,2003.0,4
nm0153078,0,0.0,,2003.0,6
nm0323701,0,0.0,,2003.0,3
nm1186467,0,0.0,,2003.0,0
nm1434970,0,0.0,,2004.0,0
nm1892323,0,0.0,,2003.0,1
nm1893578,0,0.0,,2003.0,0
nm2279449,0,0.0,,2003.0,0
nm1185022,1,2.0,['cinematographer'],2006.0,0
nm0936482,0,0.0,,2003.0,3
nm0773133,1,3.0,['actress'],2003.0,0
nm0657929,1,1.0,['writer'],2003.0,0
nm1317689,0,0.0,,2003.0,3
nm0366914,1,1.0,['cinematographer'],2005.0,5
nm0430606,0,0.0,,2006.0,2
nm1177692,0,0.0,,2003.0,0
nm1191541,0,0.0,,2003.0,0
nm0378102,1,1.0,['actor'],2003.0,0
nm1167933,0,0.0,,2003.0,3
nm2194834,0,0.0,,2006.0,3
nm1189682,0,0.0,,2005.0,0
nm0853022,0,0.0,,2008.0,0
nm0937306,0,0.0,,2003.0,7
nm0217034,1,2.0,['actor'],2003.0,0
nm0004965,1,6.0,['actor'],2003.0,0
nm1020275,1,2.0,['cinematographer'],2003.0,0
nm1195601,0,0.0,,2003.0,3
nm0907635,1,1.0,['writer'],2003.0,0
nm1194586,0,0.0,,2007.0,0
nm0112085,1,2.0,['actress'],2006.0,2
nm1195914,0,0.0,,2003.0,1
nm1276541,0,0.0,,2003.0,0
nm0372854,0,0.0,,2003.0,0
nm0904439,0,0.0,,2003.0,5
nm1194528,0,0.0,,2004.0,0
nm0285408,1,2.0,['cinematographer'],2004.0,2
nm1168394,0,0.0,,2003.0,0
nm0579318,0,0.0,,2003.0,2
nm1091027,1,1.0,['actress'],2005.0,0
nm0644022,1,1.0,['actor'],2003.0,3
nm1195760,0,0.0,,2003.0,0
nm0712753,1,4.0,['writer'],2003.0,2
nm1197971,0,0.0,,2003.0,4
nm0314230,0,0.0,,2004.0,0
nm1054446,0,0.0,,2003.0,3
nm1196938,1,2.0,['writer'],2003.0,3
nm1203505,0,0.0,,2003.0,1
nm1201776,0,0.0,,2003.0,1
nm1201898,0,0.0,,2003.0,0
nm1201923,0,0.0,,2003.0,1
nm0000410,1,9.0,"['actor', 'writer']",2003.0,0
nm0138034,1,1.0,['producer'],2003.0,0
nm0994553,0,0.0,,2003.0,4
nm0006786,1,4.0,"['producer', 'actor']",2005.0,3
nm1204496,0,0.0,,2004.0,1
nm0946327,1,1.0,['writer'],2004.0,1
nm0072364,1,4.0,"['actor', 'writer']",2003.0,6
nm0379730,0,0.0,,2003.0,0
nm0535226,0,0.0,,2003.0,2
nm0545382,1,7.0,"['cinematographer', 'writer']",2003.0,2
nm0005616,1,1.0,['editor'],2003.0,5
nm1499831,0,0.0,,2003.0,0
nm1203166,0,0.0,,2004.0,0
nm0142918,1,1.0,['editor'],2003.0,1
nm1205567,0,0.0,,2003.0,3
nm1202568,0,0.0,,2003.0,3
nm1208371,0,0.0,,2009.0,1
nm0457038,1,2.0,['actress'],2003.0,7
nm1128857,0,0.0,,2005.0,7
nm1213712,0,0.0,,2003.0,1
nm0388971,0,0.0,,2003.0,0
nm0456732,1,6.0,['writer'],2006.0,2
nm0439748,1,3.0,['actor'],2003.0,1
nm0889442,0,0.0,,2006.0,0
nm0844038,0,0.0,,2005.0,6
nm0082450,1,2.0,['actor'],2003.0,9
nm0661484,0,0.0,,2003.0,0
nm1219303,0,0.0,,2005.0,0
nm1217972,0,0.0,,2003.0,5
nm1119314,0,0.0,,2006.0,0
nm1216911,0,0.0,,2003.0,1
nm0484879,1,3.0,['cinematographer'],2004.0,5
nm1215481,0,0.0,,2003.0,1
nm1139068,1,8.0,['actor'],2005.0,0
nm0304921,0,0.0,,2003.0,5
nm0362566,1,1.0,['production_designer'],2003.0,11
nm1216501,0,0.0,,2003.0,1
nm0216149,0,0.0,,2003.0,0
nm0903392,0,0.0,,2004.0,1
nm0928813,0,0.0,,2004.0,0
nm0086431,0,0.0,,2003.0,0
nm1074107,0,0.0,,2003.0,0
nm0806450,0,0.0,,2004.0,1
nm1226504,0,0.0,,2004.0,2
nm1230154,0,0.0,,2005.0,0
nm1229221,0,0.0,,2003.0,1
nm1229364,0,0.0,,2003.0,0
nm0994538,0,0.0,,2004.0,2
nm0178556,0,0.0,,2004.0,0
nm1113882,1,1.0,['writer'],2004.0,0
nm1219963,0,0.0,,2003.0,5
nm0381537,0,0.0,,2003.0,1
nm1231757,0,0.0,,2003.0,6
nm0211072,0,0.0,,2004.0,1
nm0798676,0,0.0,,2004.0,0
nm0738749,0,0.0,,2003.0,0
nm1119663,1,2.0,['actor'],2009.0,1
nm1234072,0,0.0,,2009.0,0
nm1267649,0,0.0,,2004.0,0
nm1202495,0,0.0,,2003.0,0
nm0037087,0,0.0,,2004.0,0
nm0501609,0,0.0,,2003.0,1
nm1238255,0,0.0,,2003.0,0
nm1230991,0,0.0,,2003.0,0
nm0854578,0,0.0,,2003.0,3
nm1231912,0,0.0,,2003.0,1
nm0439640,1,4.0,['writer'],2003.0,0
nm1178654,0,0.0,,2003.0,1
nm0378144,1,5.0,['writer'],2004.0,2
nm0683165,0,0.0,,2003.0,1
nm1440124,0,0.0,,2003.0,1
nm0789496,0,0.0,,2003.0,2
nm1233810,0,0.0,,2003.0,2
nm0468149,1,1.0,['actor'],2003.0,0
nm0013711,0,0.0,,2003.0,2
nm0277040,0,0.0,,2003.0,0
nm0055307,0,0.0,,2003.0,0
nm1238391,0,0.0,,2003.0,0
nm1117469,1,1.0,['actor'],2003.0,0
nm0207775,0,0.0,,2003.0,5
nm0423428,1,1.0,['writer'],2003.0,5
nm0681929,0,0.0,,2008.0,0
nm0727688,0,0.0,,2008.0,0
nm0630178,0,0.0,,2003.0,0
nm1210063,0,0.0,,2004.0,0
nm0160435,1,3.0,"['actor', 'writer']",2003.0,0
nm1243062,0,0.0,,2003.0,3
nm0674650,0,0.0,,2003.0,0
nm0387828,0,0.0,,2003.0,5
nm1009775,0,0.0,,2003.0,1
nm0409790,1,22.0,"['actress', 'writer']",2003.0,0
nm0115764,1,5.0,['producer'],2004.0,0
nm0812148,1,2.0,['actor'],2003.0,2
nm0055933,0,0.0,,2003.0,0
nm0732106,0,0.0,,2003.0,0
nm0200380,0,0.0,,2004.0,1
nm1259871,0,0.0,,2003.0,5
nm0781340,0,0.0,,2003.0,10
nm0243109,1,3.0,"['actress', 'writer']",2004.0,2
nm1253331,0,0.0,,2003.0,0
nm0229301,1,3.0,['actor'],2003.0,1
nm1252522,0,0.0,,2004.0,1
nm1252811,0,0.0,,2003.0,8
nm0957388,0,0.0,,2004.0,0
nm0170208,1,2.0,['actor'],2004.0,0
nm0637177,0,0.0,,2003.0,1
nm0290101,1,1.0,['writer'],2003.0,0
nm0916424,0,0.0,,2003.0,6
nm1170765,1,1.0,['producer'],2004.0,0
nm0000154,1,34.0,['actor'],2004.0,2
nm1109436,0,0.0,,2003.0,0
nm1319488,0,0.0,,2003.0,6
nm0868484,1,2.0,['producer'],2005.0,2
nm0109910,1,2.0,['writer'],2003.0,1
nm0534813,0,0.0,,2003.0,3
nm1319152,0,0.0,,2003.0,1
nm1269627,0,0.0,,2003.0,1
nm1306365,0,0.0,,2006.0,0
nm0086051,0,0.0,,2003.0,1
nm0004752,1,6.0,"['actress', 'writer']",2003.0,1
nm0313606,0,0.0,,2003.0,0
nm1269152,0,0.0,,2006.0,2
nm1247361,0,0.0,,2003.0,0
nm1266318,0,0.0,,2004.0,6
nm0639404,1,10.0,['producer'],2003.0,0
nm0211529,0,0.0,,2003.0,0
nm0553871,1,1.0,['actor'],2003.0,1
nm0157362,0,0.0,,2005.0,4
nm0256983,1,1.0,['production_designer'],2003.0,0
nm0681264,0,0.0,,2003.0,1
nm0769419,1,2.0,"['cinematographer', 'producer']",2003.0,0
nm0766021,0,0.0,,2003.0,1
nm1808241,0,0.0,,2005.0,0
nm0465462,0,0.0,,2003.0,4
nm0465463,0,0.0,,2003.0,1
nm0783365,1,8.0,"['producer', 'writer']",2003.0,3
nm1082344,1,15.0,"['producer', 'actor']",2003.0,0
nm1228961,0,0.0,,2003.0,2
nm0706973,0,0.0,,2008.0,1
nm0551997,0,0.0,,2005.0,0
nm1293001,0,0.0,,2003.0,1
nm0801899,0,0.0,,2003.0,2
nm0701269,0,0.0,,2003.0,4
nm1305198,0,0.0,,2003.0,3
nm1267594,0,0.0,,2003.0,1
nm0299603,0,0.0,,2003.0,5
nm0051156,0,0.0,,2003.0,1
nm0994357,0,0.0,,2003.0,1
nm1852081,0,0.0,,2003.0,0
nm0363865,0,0.0,,2004.0,0
nm0489453,1,1.0,['producer'],2003.0,1
nm1269479,0,0.0,,2004.0,0
nm0139091,0,0.0,,2003.0,0
nm0870664,0,0.0,,2003.0,0
nm0849562,1,2.0,['actor'],2003.0,2
nm0007708,0,0.0,,2004.0,0
nm0377420,0,0.0,,2003.0,0
nm0697448,0,0.0,,2003.0,0
nm1281883,0,0.0,,2003.0,0
nm1299502,0,0.0,,2005.0,2
nm1303128,0,0.0,,2005.0,1
nm0313227,0,0.0,,2003.0,8
nm1270504,0,0.0,,2003.0,0
nm0893097,0,0.0,,2003.0,1
nm0863670,0,0.0,,2007.0,0
nm0277450,1,1.0,['composer'],2003.0,0
nm0675929,1,2.0,['cinematographer'],2003.0,0
nm0006009,1,32.0,"['cinematographer', 'composer']",2003.0,1
nm0297934,1,1.0,['writer'],2003.0,9
nm0007179,0,0.0,,2003.0,4
nm0269755,0,0.0,,2003.0,1
nm0748228,1,1.0,['actor'],2004.0,0
nm0489309,0,0.0,,2003.0,7
nm1272129,0,0.0,,2003.0,1
nm1274190,1,1.0,['cinematographer'],2003.0,1
nm1272688,0,0.0,,2003.0,1
nm0206556,0,0.0,,2003.0,1
nm1272695,0,0.0,,2003.0,0
nm1116133,0,0.0,,2003.0,2
nm0546790,1,2.0,"['editor', 'writer']",2004.0,1
nm1741096,0,0.0,,2005.0,1
nm0664896,1,1.0,['actor'],2005.0,1
nm1301141,0,0.0,,2006.0,1
nm0420992,1,5.0,['composer'],2003.0,0
nm1274206,0,0.0,,2003.0,1
nm0617023,0,0.0,,2003.0,1
nm0121800,0,0.0,,2003.0,0
nm0453085,0,0.0,,2004.0,1
